n: 15, f: 2, c: 6, a: f
n: 12, f: 2, c: 3, a: f
n: 17, f: 11, c: 14, a: f
n: 13, f: 3, c: 4, a: p
n: 16, f: 11, c: 12, a: f
n: 17, f: 3, c: 4, a: p
n: 11, f: 3, c: 4, a: p
n: 15, f: 3, c: 4, a: p
n: 18, f: 11, c: 15, a: f
n: 18, f: 1, c: 3, a: f
n: 18, f: 2, c: 4, a: f
n: 18, f: 11, c: 15, a: f
n: 18, f: 3, c: 6, a: f
n: 20, f: 11, c: 12, a: f
n: 20, f: 11, c: 17, a: p
n: 16, f: 3, c: 4, a: p
n: 20, f: 11, c: 18, a: p
n: 16, f: 2, c: 5, a: f
n: 20, f: 11, c: 18, a: f
n: 19, f: 11, c: 16, a: f
n: 16, f: 6, c: 7, a: p
