[n: 10, f: 0, c: 2] p 2 | f 0
[n: 10, f: 1, c: 2] p 4 | f 0
[n: 10, f: 0, c: 2] p 1 | f 0
[n: 10, f: 1, c: 2] p 3 | f 0
[n: 10, f: 0, c: 2] p 1 | f 0
[n: 10, f: 1, c: 2] p 3 | f 0
[n: 10, f: 0, c: 2] p 1 | f 0
[n: 10, f: 1, c: 2] p 3 | f 0
[n: 10, f: 0, c: 2] p 1 | f 0
[n: 10, f: 1, c: 2] p 3 | f 0
[n: 10, f: 0, c: 3] p 2 | f 0
[n: 10, f: 1, c: 3] p 6 | f 0
[n: 10, f: 2, c: 3] p 8 | f 0
[n: 10, f: 0, c: 3] p 3 | f 0
[n: 10, f: 1, c: 3] p 6 | f 0
[n: 14, f: 0, c: 11] p 65 | f 4
[n: 18, f: 0, c: 6] p 67 | f 3
[n: 10, f: 2, c: 3] p 8 | f 0
[n: 10, f: 0, c: 3] p 3 | f 0
[n: 10, f: 1, c: 3] p 6 | f 0
[n: 10, f: 2, c: 3] p 9 | f 0
[n: 10, f: 0, c: 3] p 2 | f 0
[n: 10, f: 1, c: 3] p 7 | f 0
[n: 10, f: 2, c: 3] p 8 | f 0
[n: 10, f: 0, c: 3] p 2 | f 0
[n: 10, f: 1, c: 3] p 6 | f 0
[n: 10, f: 2, c: 3] p 8 | f 0
[n: 10, f: 0, c: 4] p 5 | f 0
[n: 10, f: 1, c: 4] p 10 | f 1
[n: 17, f: 0, c: 10] p 167 | f 5
[n: 10, f: 2, c: 4] p 16 | f 1
[n: 10, f: 3, c: 4] p 18 | f 1
[n: 10, f: 0, c: 4] p 3 | f 0
[n: 10, f: 1, c: 4] p 9 | f 1
[n: 18, f: 1, c: 6] p 154 | f 5
[n: 25, f: 0, c: 6] p 220 | f 6
[n: 10, f: 2, c: 4] p 15 | f 1
[n: 14, f: 1, c: 11] p 157 | f 7
[n: 10, f: 3, c: 4] p 17 | f 1
[n: 10, f: 0, c: 4] p 5 | f 0
[n: 10, f: 1, c: 4] p 10 | f 1
[n: 10, f: 2, c: 4] p 14 | f 2
[n: 10, f: 3, c: 4] p 17 | f 1
[n: 22, f: 0, c: 9] p 295 | f 8
[n: 10, f: 0, c: 4] p 4 | f 0
[n: 20, f: 0, c: 18] p 230 | f 14
[n: 10, f: 1, c: 4] p 9 | f 1
[n: 10, f: 2, c: 4] p 14 | f 1
[n: 10, f: 3, c: 4] p 16 | f 1
[n: 10, f: 0, c: 4] p 4 | f 0
[n: 10, f: 1, c: 4] p 9 | f 1
[n: 10, f: 2, c: 4] p 14 | f 1
[n: 10, f: 3, c: 4] p 18 | f 1
[n: 10, f: 0, c: 5] p 7 | f 1
[n: 10, f: 1, c: 5] p 13 | f 1
[n: 10, f: 2, c: 5] p 21 | f 1
[n: 14, f: 2, c: 11] p 234 | f 10
[n: 18, f: 2, c: 6] p 254 | f 7
[n: 10, f: 3, c: 5] p 26 | f 1
[n: 17, f: 1, c: 10] p 343 | f 10
[n: 10, f: 4, c: 5] p 32 | f 2
[n: 10, f: 0, c: 5] p 7 | f 0
[n: 10, f: 1, c: 5] p 14 | f 1
[n: 10, f: 2, c: 5] p 20 | f 1
[n: 10, f: 3, c: 5] p 26 | f 1
[n: 10, f: 4, c: 5] p 30 | f 1
[n: 10, f: 0, c: 5] p 6 | f 1
[n: 10, f: 1, c: 5] p 13 | f 1
[n: 10, f: 2, c: 5] p 20 | f 1
[n: 10, f: 3, c: 5] p 26 | f 1
[n: 10, f: 4, c: 5] p 30 | f 1
[n: 10, f: 0, c: 5] p 8 | f 0
[n: 10, f: 1, c: 5] p 14 | f 1
[n: 25, f: 1, c: 6] p 545 | f 11
[n: 14, f: 3, c: 11] p 303 | f 11
[n: 10, f: 2, c: 5] p 21 | f 1
[n: 18, f: 3, c: 6] p 322 | f 8
[n: 10, f: 3, c: 5] p 27 | f 1
[n: 10, f: 4, c: 5] p 30 | f 2
[n: 10, f: 0, c: 5] p 6 | f 0
[n: 10, f: 1, c: 5] p 14 | f 1
[n: 22, f: 1, c: 9] p 569 | f 14
[n: 10, f: 2, c: 5] p 20 | f 1
[n: 10, f: 3, c: 5] p 25 | f 1
[n: 10, f: 4, c: 5] p 29 | f 1
[n: 10, f: 0, c: 6] p 9 | f 1
[n: 10, f: 1, c: 6] p 20 | f 1
[n: 17, f: 2, c: 10] p 480 | f 12
[n: 10, f: 2, c: 6] p 28 | f 1
[n: 10, f: 3, c: 6] p 34 | f 2
[n: 10, f: 4, c: 6] p 42 | f 2
[n: 20, f: 1, c: 18] p 733 | f 28
[n: 14, f: 4, c: 11] p 364 | f 11
[n: 18, f: 4, c: 6] p 366 | f 8
[n: 10, f: 5, c: 6] p 48 | f 2
[n: 10, f: 0, c: 6] p 9 | f 1
[n: 10, f: 1, c: 6] p 20 | f 1
[n: 10, f: 2, c: 6] p 30 | f 2
[n: 10, f: 3, c: 6] p 37 | f 2
[n: 10, f: 4, c: 6] p 42 | f 2
[n: 10, f: 5, c: 6] p 49 | f 2
[n: 10, f: 0, c: 6] p 9 | f 1
[n: 10, f: 1, c: 6] p 20 | f 1
[n: 10, f: 2, c: 6] p 29 | f 2
[n: 10, f: 3, c: 6] p 35 | f 2
[n: 10, f: 4, c: 6] p 42 | f 2
[n: 18, f: 5, c: 6] p 392 | f 8
[n: 25, f: 2, c: 6] p 802 | f 13
[n: 14, f: 5, c: 11] p 421 | f 11
[n: 10, f: 5, c: 6] p 48 | f 2
[n: 10, f: 0, c: 6] p 9 | f 1
[n: 17, f: 3, c: 10] p 587 | f 14
[n: 10, f: 1, c: 6] p 21 | f 1
[n: 18, f: 0, c: 6] p 65 | f 3
[n: 10, f: 2, c: 6] p 29 | f 2
[n: 10, f: 3, c: 6] p 36 | f 2
[n: 10, f: 4, c: 6] p 42 | f 2
[n: 10, f: 5, c: 6] p 47 | f 2
[n: 10, f: 0, c: 6] p 9 | f 1
[n: 18, f: 1, c: 6] p 158 | f 5
[n: 22, f: 2, c: 9] p 912 | f 17
[n: 10, f: 1, c: 6] p 21 | f 1
[n: 10, f: 2, c: 6] p 28 | f 2
[n: 10, f: 3, c: 6] p 35 | f 2
[n: 10, f: 4, c: 6] p 42 | f 2
[n: 10, f: 5, c: 6] p 49 | f 2
[n: 10, f: 0, c: 7] p 10 | f 1
[n: 28, f: 0, c: 14] p 1931 | f 22
[n: 10, f: 1, c: 7] p 25 | f 2
[n: 14, f: 6, c: 11] p 463 | f 10
[n: 10, f: 2, c: 7] p 36 | f 2
[n: 18, f: 2, c: 6] p 258 | f 7
[n: 10, f: 3, c: 7] p 45 | f 2
[n: 10, f: 4, c: 7] p 54 | f 2
[n: 10, f: 5, c: 7] p 62 | f 2
[n: 17, f: 4, c: 10] p 674 | f 14
[n: 10, f: 6, c: 7] p 72 | f 2
[n: 10, f: 0, c: 7] p 10 | f 1
[n: 10, f: 1, c: 7] p 24 | f 2
[n: 10, f: 2, c: 7] p 35 | f 2
[n: 18, f: 3, c: 6] p 324 | f 8
[n: 20, f: 2, c: 18] p 1209 | f 39
[n: 10, f: 3, c: 7] p 44 | f 2
[n: 10, f: 4, c: 7] p 53 | f 2
[n: 14, f: 7, c: 11] p 518 | f 9
[n: 10, f: 5, c: 7] p 61 | f 2
[n: 25, f: 3, c: 6] p 1044 | f 15
[n: 10, f: 6, c: 7] p 68 | f 2
[n: 10, f: 0, c: 7] p 9 | f 1
[n: 10, f: 1, c: 7] p 24 | f 5
[n: 10, f: 2, c: 7] p 36 | f 2
[n: 18, f: 4, c: 6] p 369 | f 8
[n: 10, f: 3, c: 7] p 46 | f 2
[n: 10, f: 4, c: 7] p 55 | f 2
[n: 10, f: 5, c: 7] p 64 | f 2
